 
Carne. bovina. contra-filé de costela. cru;202.44;19.8;13.07;0
Carne. bovina. contra-filé. com gordura. cru;205.86;21.15;12.81;0
Carne. bovina. contra-filé. sem gordura. cru;156.62;24;6;0
Carne. bovina. costela. crua;357.72;16.71;31.75;0
Carne. bovina. coxão duro. sem gordura. cru;147.97;21.51;6.22;0
Carne. bovina. coxão mole. sem gordura. cru;169.07;21.23;8.69;0
Carne. bovina. cupim. cru;221.4;19.54;15.3;0
Carne. bovina. fígado. cru;141.05;20.71;5.36;1.11
Carne. bovina. filé mingnon. sem gordura. cru;142.86;21.6;5.61;0
Carne. bovina. flanco. sem gordura. cru;141.46;20;6.22;0
Carne. bovina. fraldinha. com gordura. crua;220.72;17.58;16.15;0
Carne. bovina. lagarto. cru;134.86;20.54;5.23;0
Carne. bovina. língua. crua;215.25;17.09;15.77;0
Carne. bovina. maminha. crua;152.77;20.93;7.03;0
Carne. bovina. miolo de alcatra. sem gordura. cru;162.87;21.61;7.83;0
Carne. bovina. músculo. sem gordura. cru;141.58;21.56;5.49;0
Carne. bovina. paleta. com gordura. crua;158.71;21.41;7.46;0
Carne. bovina. paleta. sem gordura. crua;140.94;21.03;5.67;0
Carne. bovina. patinho. sem gordura. cru;133.47;21.72;4.51;0
Carne. bovina. peito. sem gordura. cru;259.28;17.56;20.43;0
Carne. bovina. picanha. com gordura. crua;212.88;18.82;14.69;0
Carne. bovina. picanha. sem gordura. crua;133.52;21.25;4.74;0
Carne. bovina. seca. crua;312.75;19.66;25.37;0
Caruru. cru;34.03;3.2;0.59;5.97
Castanha-de-caju. torrada. salgada;570.17;18.51;46.28;29.13
Castanha-do-Brasil. crua;642.96;14.54;63.46;15.08
Catalonha. crua;23.89;1.87;0.28;4.75
Cebola. crua;39.42;1.71;0.08;8.85
Cebolinha. crua;19.52;1.87;0.35;3.37
Cenoura. crua;34.14;1.32;0.17;7.66
Cereais. milho. flocos. com sal;369.6;7.29;1.6;80.84
Cereais. milho. flocos. sem sal;363.34;6.88;1.18;80.45
Cereais. mingau. milho. infantil;394.43;6.43;1.09;87.27
Cereais. mistura para vitamina. trigo. cevada e aveia;381.13;8.9;2.12;81.62
Cereal matinal. milho;365.35;7.16;0.96;83.82
Cereal matinal. milho. açúcar;376.56;4.74;0.67;88.84
Cerveja. pilsen 2;40.72;0.56;0;3.32
Chá. erva-doce. infusão 5%;1.4;0;0;0.39
Chá. mate. infusão 5%;2.73;0;0.05;0.64
Chá. preto. infusão 5%;2.25;0;0;0.63
Chantilly. spray. com gordura vegetal;314.96;0.53;27.27;16.86
Chicória. crua;13.84;1.14;0.14;2.85
Chocolate. ao leite;539.59;7.22;30.27;59.58
Chocolate. ao leite. com castanha do Pará;558.88;7.41;34.19;55.38
Chocolate. ao leite. dietético;556.82;6.9;33.77;56.32
Chocolate. meio amargo;474.92;4.86;29.86;62.42
Chuchu. cru;16.98;0.7;0.06;4.14
Ciriguela. crua;75.59;1.4;0.36;18.86
Cocada branca;448.85;1.12;13.59;81.38
Coco. água de;21.51;0;0;5.28
Coco. cru;406.49;3.69;41.98;10.4
Coentro. folhas desidratadas;309.07;20.88;10.39;47.96
Corimba. cru;128.16;17.37;5.99;0.03
Corvina de água doce. crua;101.01;18.92;2.24;0
Corvina do mar. crua;94;18.57;1.58;0
Couve. manteiga. crua;27.06;2.87;0.55;4.33
Couve-flor. crua;22.56;1.91;0.21;4.52
Creme de arroz. pó;386;7.03;1.23;83.87
Creme de Leite;221.48;1.51;22.48;4.51
Creme de milho. pó;333.03;4.82;1.64;86.15
Croquete. de carne. cru;245.77;12.04;15.56;13.95
Cupuaçu. cru;49.42;1.16;0.95;10.43
Cupuaçu. polpa. congelada;48.8;0.84;0.59;11.39
Curau. milho verde;78.43;2.36;1.64;13.94
Curau. milho verde. mistura para;402.29;2.22;13.37;79.82
Doce. de abóbora. cremoso;198.94;0.92;0.21;54.61
Doce. de leite. cremoso;306.31;5.48;5.99;59.49
Dourada de água doce. fresca;131.21;18.81;5.64;0
Ervilha. em vagem;88.09;7.45;0.47;14.23
Ervilha. enlatada. drenada;73.84;4.6;0.38;13.44
Espinafre. Nova Zelândia. cru;16.1;2;0.24;2.57
Farinha. de arroz. enriquecida;363.06;1.27;0.3;85.5
Farinha. de centeio. integral;335.78;12.52;1.75;73.3
Farinha. de mandioca. crua;360.87;1.55;0.28;87.9
Farinha. de mandioca. torrada;365.27;1.23;0.29;89.19
Farinha. de mesocarpo de babaçu. crua;328.77;1.41;0.2;79.17
Farinha. de milho. amarela;350.59;7.19;1.47;79.08
Farinha. de puba;360.18;1.62;0.47;87.29
Farinha. de rosca;370.58;11.38;1.46;75.79
Farinha. de trigo;360.47;9.79;1.37;75.09
